Copy Path Coordinates Below:
240,345
240,349
240,352
240,354
240,359
240,363
240,365
240,366
240,367
242,369
242,370
243,372
244,373
244,374
245,375
246,376
247,378
248,378
248,379
249,381
250,382
250,384
252,387
253,390
253,391
254,394
254,394
255,395
255,396
255,396
255,397
255,399
256,400
256,400
256,400
256,402
256,404
256,407
256,411
256,416
256,423
256,426
256,431
256,436
256,444
256,447
256,449
257,453
257,455
257,457
257,460
257,462
257,463
257,467
257,469
257,470
257,471
257,471
256,472
256,472
256,472
255,472
255,473
255,473
255,473
254,473
254,473
253,473
253,473
253,473
253,473
252,473
252,473
251,473
251,473
251,472
251,471
251,471
250,470
250,469
250,465
250,462
250,458
250,452
250,446
250,440
250,435
250,432
250,424
249,422
249,419
249,418
249,416
249,415
249,413
248,409
248,407
248,405
247,401
247,399
246,398
245,395
244,393
244,391
242,387
241,386
240,384
239,382
238,381
237,381
237,381
236,381
236,381
235,381
235,381
235,381
234,381
234,381
233,381
233,381
233,384
233,387
233,389
232,392
232,397
232,401
232,406
232,420
232,426
232,432
232,435
232,439
232,442
232,446
232,447
232,449
232,450
232,452
232,452
232,453
232,454
232,455
232,455
232,456
232,458
232,459
231,461
230,465
229,467
229,469
227,472
227,472
227,473
226,474
226,474
226,474
226,474
225,474
225,474
224,474
224,474
224,474
223,474
223,473
222,473
222,472
221,471
221,470
221,469
221,468
220,466
220,463
220,458
220,453
219,448
219,443
218,437
218,429
218,425
217,422
217,412
217,409
217,405
217,399
217,396
217,392
217,390
217,388
217,386
217,385
217,383
217,381
217,380
217,378
217,377
217,374
217,372
217,370
217,368
216,365
216,363
215,361
215,359
214,358
213,356
212,355
212,354
211,352
210,352
209,351
209,351
207,350
207,350
206,350
205,350
205,350
204,350
204,350
203,350
203,351
202,352
201,356
200,359
199,363
199,364
198,371
197,375
196,385
195,391
195,394
194,398
194,402
194,409
193,411
193,415
193,417
193,419
192,420
192,422
192,423
191,425
191,427
190,430
189,431
189,433
188,434
187,435
186,437
186,437
185,438
185,438
184,438
184,438
184,438
184,438
183,438
183,438
183,438
182,437
182,437
182,435
182,434
182,433
182,432
182,429
182,426
182,423
182,420
182,417
184,408
185,404
186,400
187,394
189,388
190,384
192,375
193,370
194,368
196,359
196,355
197,352
197,350
198,347
198,345
198,344
198,343
198,342
198,340
198,340
198,339
198,338
197,336
195,335
194,334
193,333
192,332
190,331
189,330
184,327
182,326
181,325
178,324
172,322
170,321
166,321
165,321
164,321
161,321
161,321
160,322
159,323
158,324
154,326
151,328
148,329
138,334
134,336
131,337
125,340
121,341
118,342
112,344
110,344
108,344
103,344
100,344
96,344
93,342
91,341
89,339
85,336
83,334
80,329
77,323
75,319
73,302
73,294
73,279
73,258
73,246
73,242
73,234
73,228
78,218
78,217
79,216
81,216
82,216
83,216
84,216
84,216
85,215
86,215
86,215
86,215
86,215
87,215
