k,X,Y,class
319,5861,4353,2
320,6768,9501,0
321,7653,5307,7
322,6763,7106,2
323,8619,6263,4
324,3534,9869,1
325,8069,6504,1
326,2359,8075,3
327,8194,1473,5
328,4012,8310,1
329,5785,1598,4
330,3389,6994,2
331,3384,4838,8
332,9100,5902,3
333,5322,9146,3
334,8691,7580,0
335,9029,5064,3
336,2361,8794,4
337,2562,6517,2
338,5853,999,4
339,2971,4839,3
340,7732,9499,2
341,3669,8671,1
342,3652,1963,7
343,6888,2075,0
344,2563,6996,2
345,2221,7836,0
346,8477,4347,0
347,6823,3632,2
348,5654,3994,3
349,8341,5305,7
350,4280,5435,0
351,6131,2197,5
352,4563,8549,0
353,8820,3987,4
354,8952,1591,6
355,8347,7701,1
356,6219,9982,8
357,6340,3034,9
358,6198,1358,7
359,6209,6149,4
360,5385,6870,3
361,3455,5916,7
362,8201,4348,6
363,2216,5680,0
364,6886,1356,6
365,3172,2803,7
366,6490,8304,8
367,8749,3148,5
368,6764,7825,2
369,5455,7229,2
370,5111,7349,2
371,6624,6867,3
372,3445,1604,7
373,2084,8315,1
374,3044,6636,2
375,9439,3865,3
376,5856,2197,0
377,3533,9390,4
378,5931,4952,5
379,6286,9383,2
380,7999,5905,7
381,1735,6280,0
382,5651,3036,6
383,6679,1237,0
384,6071,5910,4
385,4005,5675,6
386,3947,9868,1
387,5029,1960,6
388,9098,4944,0
389,7868,8780,5
390,3465,9989,0
391,5995,2676,4
392,8058,1952,0
393,4703,9507,1
394,2498,8554,4
395,4139,3998,0
396,3258,9869,0
397,5182,8188,3
398,8483,6982,3
399,8541,2550,6
400,8755,5544,2
401,9104,7340,5
402,2843,8673,1
403,6408,2675,9
404,4149,8071,0
405,3583,1843,7
406,7247,8183,1
407,6067,3993,1
408,4272,2081,3
409,2499,9033,6
410,3324,8552,7
411,2493,6637,2
412,8478,4826,4
413,6076,7826,0
414,6142,6748,2
415,7525,9380,4
416,2907,6876,2
417,6689,5309,0
418,6691,6028,0
419,7094,1955,1
420,6139,5311,3
421,7728,7822,4
422,7037,6626,0
423,6818,1476,6
424,3394,9150,1
425,6133,2915,0
426,9512,5422,8
427,1944,7357,1
428,4979,9745,1
429,6688,4591,4
430,3791,2202,1
431,5105,4954,5
432,5724,4593,6
433,3447,2562,0
434,5372,1360,4
435,7852,2312,9
436,6696,7945,1
437,3516,2682,0
438,7515,5307,7
439,3512,1005,4
440,4900,5553,5
441,7518,6505,0
442,6900,7106,2
443,1533,7837,0
444,7178,8303,4
445,6480,4232,1
446,6278,6029,4
447,5166,1480,1
448,4691,4476,6
449,6495,10221,2
450,2011,6279,0
451,8759,7221,1
452,5255,9984,1
453,8616,4826,4
454,5586,4354,0
455,2078,5680,0
456,2222,8315,1
457,9241,7339,5
458,1947,8315,1
459,6343,4232,1
460,7939,9858,5
461,2288,7237,2
462,4351,6034,0
463,6697,8663,3
464,3251,6755,2
465,2077,5440,5
466,8747,2430,0
467,8065,4827,8
468,2898,3043,2
469,4547,1841,1
470,3243,3641,0
471,5798,6869,2
472,5172,4115,6
473,8965,7101,2
474,2492,5919,5
475,8001,6863,3
476,3597,7353,2
477,6748,1117,4
478,8333,1952,6
479,4484,4357,6
480,4426,8549,4
481,3670,9150,1
482,7375,4110,4
483,3667,7952,3
484,2560,5799,5
485,2626,4481,3
486,9036,7939,5
487,5720,2916,0
488,3244,3880,0
489,8277,7102,3
490,4821,1361,7
491,8620,6742,3
492,8057,1713,6
493,4348,4836,2
494,8900,8658,5
495,9437,2907,0
496,3937,5795,6
497,3723,2801,1
498,6968,6507,0
499,6284,8664,1
500,7993,3510,6
501,6481,4471,3
502,5102,3517,4
503,8060,2671,9
504,8616,5065,4
505,2978,7954,0
506,5037,5313,5
507,6283,8185,3
508,7723,5906,1
509,2703,7715,2
510,3119,9151,7
511,5792,4234,1
512,2696,5080,5
513,6901,7345,2
514,3728,4718,1
515,6009,8665,4
516,5318,7708,2
517,7113,9860,1
518,7864,7103,8
519,2633,7356,2
520,4895,3637,0
521,8557,9018,5
522,5321,8667,4
523,7454,8542,0
524,6892,3752,0
525,5805,9504,3
526,3111,6037,3
527,5047,9146,3
528,3118,8672,7
529,4700,8309,3
530,5788,2796,0
531,3325,9031,7
532,8405,3029,6
533,2838,6996,2
534,2288,6997,3
535,2348,3523,0
536,3871,7113,2
537,5376,3037,0
538,5103,3996,0
539,4430,10226,8
540,8763,8658,5
541,5112,7829,2
542,7650,3870,7
543,7920,1953,4
544,5595,8426,5
545,2150,6997,2
546,3860,2561,3
547,5872,8905,1
548,7505,995,6
549,9300,3147,4
550,2964,1965,1
551,3031,1366,0
552,3789,1723,7
553,6210,6389,0
554,7643,1235,6
555,3599,8311,8
556,3810,10108,6
557,7248,8662,0
558,6408,2915,9
559,7245,7225,3
560,6552,5549,0
561,7372,3152,9
562,8686,5664,2
563,4419,5914,4
564,7098,3392,4
565,9088,1111,5
566,3253,7474,3
567,4546,1601,7
568,6541,998,0
569,2905,5917,5
570,5802,8306,2
571,7173,6147,4
572,3930,2921,7
573,4420,6153,0
574,8061,3150,0
575,9248,10214,5
576,8071,7223,3
577,5799,7348,2
578,7931,6504,1
579,7870,9499,5
580,2425,6757,2
581,3994,1124,4
582,7237,4110,4
583,4700,8069,2
584,8139,6863,3
585,3933,4358,6
586,5100,2798,3
587,3044,6396,3
588,4910,9626,1
589,7385,8422,4
590,2497,8075,3
591,9024,2908,0
592,3382,4120,0
593,6082,10222,5
594,4215,6992,2
595,2556,3882,1
596,7440,2553,9
597,4477,1482,7
598,8892,5304,1
599,4974,7589,2
600,9097,4465,1
601,6406,1956,6
602,2699,6277,1
603,4412,3039,3
604,5794,5192,5
605,4083,9149,3
606,9093,2788,0
607,7998,5426,1
608,3600,8791,1
609,7652,5068,7
610,4427,9268,3
611,7376,4589,1
612,5656,4953,5
613,4136,2561,3
614,6545,2435,9
615,3737,8551,8
616,3454,5197,5
617,8823,5184,4
618,2700,6517,3
619,3169,1365,8
620,8476,4107,6
621,5183,8667,0
622,2490,5439,5
623,9238,6142,2
624,1879,8914,4
625,6410,3633,9
626,5934,5910,4
627,7575,1594,2
628,7389,9859,4
629,5444,2917,0
630,1949,9274,5
631,6631,9502,6
632,8821,4466,4
633,8747,2190,0
634,6755,3992,0
635,7369,1714,1
636,7384,7703,1
637,5598,9385,1
638,6266,1238,1
639,8060,2910,6
640,4824,2559,8
641,3588,3999,5
642,4632,8668,1
643,2963,1486,1
644,3116,7953,2
645,4906,7949,2
646,3738,9030,8
647,4557,5913,0
648,7519,6745,0
649,8140,7582,1
650,3376,1724,7
651,3242,2922,1
652,2687,1486,0
653,8205,6024,2
654,7716,3031,9
655,7516,5547,8
656,4001,3998,0
657,2906,6636,2
658,9031,5783,2
659,6904,8782,6
660,7590,7823,3
661,3321,7114,2
662,8959,4465,4
663,3390,7473,3
664,2691,3163,0
665,5860,3874,1
666,6629,9023,0
667,8344,6264,3
668,4902,6272,6
669,3256,8911,7
670,7309,5188,1
671,8408,4467,0
672,7370,1954,9
673,7453,8062,6
674,4696,6392,4
675,7308,4949,1
676,7933,7223,8
677,4214,6513,8
678,7591,8302,0
679,7448,5906,4
680,7870,9738,5
681,7787,3869,1
682,7248,8422,4
683,2147,5800,6
684,1943,6639,3
685,7854,3031,6
686,2899,3522,1
687,4350,5794,4
688,6821,2914,9
689,3045,7115,2
690,2281,4122,1
691,7440,2792,9
692,6404,1238,7
693,4760,4595,6
694,5796,6150,4
695,2621,2564,6
696,3102,2204,1
697,5665,8785,8
698,2018,9393,5
699,2553,2924,4
700,5581,2437,1
701,6420,7945,1
702,8345,6743,2
703,3457,6635,7
704,4408,1362,7
705,5522,6630,3
706,4761,5075,5
707,7162,1595,1
708,3248,5557,5
709,6896,5189,3
710,6480,3992,2
711,9160,2189,0
712,6280,6987,2
713,9091,2070,0
714,8408,4227,0
715,8754,5304,7
716,4902,6512,1
717,2416,2924,4
718,5660,6629,3
719,3380,3161,7
720,6628,8304,2
721,5734,8666,8
722,6282,7706,0
723,3316,5198,5
724,5441,1480,4
725,5098,2079,4
726,5096,1121,1
727,9230,2788,0
728,5732,7947,3
729,4704,9986,1
730,3444,1125,4
731,6690,5789,6
732,2840,7714,2
733,6961,3632,3
734,6626,7585,2
735,7725,6624,0
736,5665,8546,5
737,5515,3516,0
738,3033,2084,1
739,7109,7944,1
740,2007,4602,0
741,7651,4349,7
742,4417,4956,0
743,4621,4117,0
744,7719,4229,7
745,5922,1119,4
746,8074,8420,5
747,3594,6155,1
748,7994,3989,4
749,6203,3514,4
750,5723,4354,0
751,5924,1838,2
752,5245,5912,0
753,8342,5545,8
754,6007,7946,6
755,6419,7466,2
756,7799,8900,5
757,8762,8419,0
758,8548,5425,8
759,1739,7717,0
760,8893,5544,3
761,6749,1357,0
762,7659,7942,3
763,7304,3272,4
764,5519,5192,5
765,5116,9506,1
766,6012,9863,5
767,7997,5186,1
768,4076,6274,3
769,6625,7106,2
770,5374,2318,4
771,3518,3161,1
772,5105,4714,5
773,8689,6622,1
774,3595,6874,2
775,5600,10103,0
776,5323,9625,8
777,5794,4952,5
