k,X,Y,class
1360,6620,4950,0
1361,3653,2442,3
1362,7935,8181,5
1363,8486,8180,5
1364,3184,7354,2
1365,8955,3028,0
1366,2293,9153,0
1367,4617,2440,3
1368,8613,3867,6
1369,3802,6754,3
1370,7373,3391,4
1371,2836,5798,5
1372,4498,10106,0
1373,5164,1001,6
1374,6958,2674,9
1375,6003,6030,4
1376,9172,7220,5
1377,7450,6865,3
1378,7718,3510,1
1379,2824,1246,4
1380,8540,2071,0
1381,7045,10219,4
1382,3596,7114,2
1383,7712,1354,6
1384,3517,2922,1
1385,4690,4236,6
1386,7378,5308,1
1387,2082,7117,2
1388,6269,2436,6
1389,6901,7585,2
1390,4423,7591,2
1391,4907,8428,3
1392,6616,3273,9
1393,8961,5424,2
1394,2980,8433,8
1395,6068,4472,2
1396,6010,9144,2
1397,7661,8421,0
1398,3724,3041,7
1399,8339,4347,0
1400,7995,4228,0
1401,3378,2203,7
1402,5649,2078,0
1403,3591,4958,5
1404,2224,9033,0
1405,7936,8421,1
1406,6201,2795,5
1407,6336,1358,7
1408,6409,3154,9
1409,7855,3510,6
1410,5387,7828,2
1411,7173,5907,4
1412,2007,4842,4
1413,3946,9389,7
1414,8814,1591,6
1415,6341,3753,3
1416,3188,9031,7
1417,3114,7235,2
1418,3798,5077,1
1419,6477,2795,9
1420,5524,7348,3
1421,7171,5428,3
1422,6204,3753,3
1423,5522,6390,1
1424,7299,1355,0
1425,3602,9509,1
1426,7733,9978,0
1427,1939,5201,6
1428,2689,1965,4
1429,2283,4841,4
1430,4759,4116,0
1431,9100,5663,1
1432,4278,4477,2
1433,6076,8066,3
1434,4143,5435,4
1435,2973,5798,5
1436,5930,4473,0
1437,9167,5303,2
1438,5588,5312,5
1439,4841,9506,1
1440,7797,7942,6
1441,8009,9978,5
1442,4563,8309,3
1443,2363,9512,0
1444,5529,9265,3
1445,2355,6158,3
1446,6340,3274,9
1447,4635,9626,1
1448,4768,7949,3
1449,7856,3989,4
1450,1739,7957,0
1451,6613,2315,9
1452,3593,5916,1
1453,7932,6983,2
1454,9228,2069,0
1455,4697,6871,2
1456,2707,9631,0
1457,6132,2676,0
1458,6150,9862,1
1459,8543,3269,6
1460,2292,8913,4
1461,3728,4957,5
1462,2842,8433,1
1463,5252,8547,0
1464,3327,9749,1
1465,7781,1234,6
1466,7862,6145,1
1467,7794,6505,3
1468,4211,5315,4
1469,5717,1958,6
1470,2149,6758,0
1471,3190,9989,0
1472,2012,6998,2
1473,7443,3750,3
1474,8822,4945,4
1475,5521,6151,0
1476,6343,4472,2
1477,1804,6399,0
1478,7386,8662,6
1479,8485,7701,1
1480,3513,1245,4
1481,9307,6022,2
1482,3037,3761,0
1483,4480,2440,2
1484,5927,3035,6
1485,9370,3746,1
1486,9441,4344,0
1487,6205,4472,8
1488,6690,5549,0
1489,5458,8666,0
1490,3732,6395,1
1491,3322,7593,2
1492,3928,2202,2
1493,7169,4230,4
1494,7722,5427,7
1495,9376,6141,2
1496,4625,5794,0
1497,2017,8914,4
1498,7386,8901,4
1499,3721,1843,7
1500,5048,9625,1
1501,4762,5554,5
1502,4082,8909,0
1503,5737,9863,6
1504,2975,6516,2
1505,7924,3630,6
1506,2152,7956,0
1507,5594,7708,5
1508,6351,7826,0
1509,3052,9990,0
1510,3864,4238,0
1511,3588,3760,6
1512,4346,4357,6
1513,3244,4120,0
1514,7310,5667,4
1515,3532,9150,7
1516,8136,5665,1
1517,5304,1959,6
1518,9095,3986,1
1519,8346,7222,3
1520,9179,10095,5
1521,7163,2074,2
1522,9303,4345,0
1523,7456,9021,4
1524,5864,5791,0
1525,5241,4235,0
1526,2491,5679,5
1527,1943,6878,3
1528,2550,1726,0
1529,6823,3872,0
1530,4837,8069,2
1531,7455,8781,4
1532,6822,3153,9
1533,2086,9034,4
1534,2693,3882,1
1535,7034,5668,0
1536,4428,9747,1
1537,6347,6149,4
1538,3180,5917,3
1539,9377,6381,2
1540,7937,8660,5
1541,6903,8064,8
1542,8749,2909,5
1543,2701,7236,2
1544,3307,1604,7
1545,5041,6990,2
1546,6478,3513,9
1547,2414,2445,5
1548,7999,6145,2
1549,6825,4351,0
1550,7113,9620,0
1551,9450,8417,6
1552,8612,3149,6
1553,5716,1239,4
1554,3168,1126,4
1555,4828,4236,6
1556,4201,1243,7
1557,4625,5554,6
1558,8273,5665,2
1559,3792,2681,1
1560,3449,3281,7
1561,5451,5552,5
1562,4413,3518,3
1563,3866,4957,5
1564,4064,1483,7
1565,8070,6743,3
1566,4552,3997,0
1567,4287,8070,0
1568,4908,8907,8
1569,3387,6036,2
1570,4206,3159,7
1571,8488,8898,5
1572,9382,8537,6
1573,4755,2679,3
1574,6631,9741,5
1575,7170,4709,1
1576,4631,7950,2
1577,6955,1476,6
1578,4421,6632,8
1579,4911,10105,7
1580,6218,9503,6
1581,5455,7468,8
1582,5933,5671,0
1583,7232,2194,1
1584,3659,4598,0
1585,2485,3283,6
1586,6834,8184,3
1587,2844,9391,0
1588,3328,10229,0
1589,5868,7228,2
1590,8760,7460,3
1591,7439,2313,9
1592,7790,4828,1
1593,5381,5193,5
1594,4702,9027,8
1595,9027,4345,4
1596,8550,6143,3
1597,7729,8062,6
1598,8895,6502,2
1599,7232,1954,2
1600,5992,1478,1
1601,5167,1959,6
1602,2156,9393,5
1603,8551,6622,0
1604,5797,6390,4
1605,7588,6864,0
1606,2348,3284,5
1607,5378,3755,0
1608,5174,4834,5
1609,2553,2684,0
1610,5107,5912,0
1611,6492,9263,5
1612,7239,4829,1
1613,8677,1831,0
1614,2756,1366,4
1615,7036,6147,4
1616,7649,3630,1
1617,8128,2311,5
1618,6632,9981,0
1619,6824,4111,3
1620,9438,3386,4
1621,4839,8548,3
1622,6959,3153,9
1623,2903,5199,5
1624,3800,6035,1
1625,4008,6873,2
1626,8129,2791,5
1627,3448,3041,7
1628,8064,4587,3
1629,8063,3869,0
1630,3308,2084,7
1631,3042,5678,5
1632,3394,8911,7
1633,6494,9742,2
1634,8196,1952,5
1635,8472,2191,2
1636,5117,9985,1
1637,4771,9147,3
1638,5997,3634,0
1639,7318,9021,5
1640,6201,2556,6
1641,4960,1840,1
1642,5036,4834,5
1643,2282,4601,6
1644,4834,6631,1
1645,4686,2320,3
1646,5440,1240,4
1647,2692,3403,0
1648,6629,8783,0
1649,3049,8552,1
1650,7928,5067,7
1651,2840,7475,2
1652,6557,7705,3
1653,5582,2917,8
1654,5176,5792,6
1655,7027,2793,9
1656,5114,8547,6
1657,7526,9619,4
1658,6415,5789,0
1659,3455,5677,3
1660,5371,1120,4
1661,6623,6148,0
1662,2620,2085,4
1663,3255,8432,1
1664,8276,6623,1
1665,4220,8909,6
1666,4071,4358,0
1667,3667,8191,1
1668,9304,4824,1
1669,8965,6861,2
1670,7316,8063,8
1671,7509,2672,9
1672,4496,9387,3
1673,5527,8786,0
1674,2700,6756,2
1675,8818,3268,0
1676,6627,7825,1
1677,6416,6268,4
1678,8265,2311,5
1679,4426,8789,1
1680,8752,4107,4
1681,5871,8665,0
1682,4073,5076,4
1683,5375,2558,1
1684,9370,3506,4
1685,7648,3151,9
1686,4693,5194,5
1687,4148,7591,2
1688,4202,1483,7
1689,3798,5316,5
1690,5806,10223,0
1691,5590,6270,0
1692,2825,1486,0
1693,3737,8311,8
1694,7099,4111,0
1695,3730,5436,5
1696,7789,4588,1
1697,8348,7941,3
1698,3802,6993,2
1699,6279,6269,4
1700,8333,1712,5
1701,3658,4359,0
1702,8545,4227,0
1703,3174,3521,2
1704,4080,7951,3
1705,3926,1483,7
1706,8279,7821,3
1707,2155,9153,5
1708,7583,4708,7
1709,6336,1597,1
1710,2973,5558,5
1711,2637,9272,0
1712,5243,5193,5
1713,6820,2434,9
1714,2963,1725,1
1715,3046,7355,2
1716,7720,4468,7
1717,4218,8190,3
1718,3039,4719,2
1719,5654,4234,0
1720,8746,1951,0
1721,7921,2192,0
1722,3032,1845,7
1723,8409,4946,4
1724,6416,6029,4
1725,3238,1245,3
1726,9381,8058,6
1727,3879,10227,6
1728,8269,3748,6
1729,7589,7104,2
1730,3513,1484,7
1731,4290,9508,1
1732,8479,5305,7
1733,6145,7946,3
1734,6904,8543,1
1735,6821,2674,9
1736,6070,5431,0
1737,3935,5077,0
1738,5937,7347,3
1739,5998,4113,1
1740,8201,4108,6
1741,3943,8430,1
1742,3464,9270,1
1743,6700,9861,6
1744,7727,7343,8
1745,6069,5191,5
1746,3258,9630,4
1747,5389,8547,0
1748,8484,7461,4
1749,5862,4593,0
1750,5099,2319,4
1751,2493,6398,2
1752,5593,7229,2
1753,8266,2551,5
1754,5735,9384,0
1755,6965,5309,3
1756,4082,8670,0
1757,7179,8542,4
1758,8335,2670,5
1759,6008,8425,0
1760,6491,8544,8
1761,3111,5797,8
1762,5392,9744,1
1763,9020,1231,5
1764,3379,2922,1
1765,7925,3869,0
1766,5650,2557,8
1767,3114,6995,2
1768,6696,8184,2
1769,5584,3635,0
1770,9241,7100,5
1771,2908,7115,2
1772,4007,6154,6
1773,5376,3276,4
1774,2622,2804,4
1775,3378,2443,1
1776,4769,8428,3
1777,8820,3747,6
1778,8195,1712,5
1779,1807,7597,0
1780,3533,9629,4
1781,5379,4474,4
1782,8131,3749,6
1783,5997,3874,2
1784,5733,8186,8
1785,7939,9618,5
1786,5990,999,1
1787,3186,8312,3
1788,6897,5908,6
1789,4757,3158,1
1790,3116,7714,3
1791,6975,9381,0
1792,5324,10104,3
1793,4083,9388,1
1794,8475,3628,6
1795,7252,10099,4
1796,8889,3867,4
1797,2492,6158,1
1798,5874,9623,6
1799,6004,6748,2
1800,6137,4832,0
1801,5579,1479,4
1802,2772,7834,2
1803,2913,9511,0
1804,4755,2439,3
1805,5587,4833,5
1806,7596,9979,0
1807,4614,1242,7
1808,6270,2675,6
1809,8207,6504,2
1810,4081,8430,3
1811,5318,7469,2
1812,6065,3275,9
1813,4972,6631,1
1814,8613,3628,0
1815,8271,4707,4
1816,9378,6860,2
1817,2420,4841,0
1818,3326,9510,4
1819,5715,1000,4
1820,8968,8298,5
1821,6556,6987,2
1822,9372,4464,4
1823,4687,2799,2
1824,6144,7467,3
1825,8280,8300,3
1826,6616,3513,2
1827,5589,5791,6
1828,6819,1955,0
1829,3256,8672,7
1830,7730,8541,6
1831,6355,9502,2
1832,5461,9624,1
1833,2902,4720,3
1834,7645,2193,1
1835,7510,2912,9
1836,5806,9983,6
1837,3733,6874,2
1838,6488,7346,2
1839,9025,3387,4
1840,4966,4475,5
1841,7382,6985,3
1842,2219,7117,2
1843,5110,6870,8
1844,3113,6755,2
1845,6890,3033,9
1846,7447,5427,1
1847,2830,3402,2
1848,3170,1844,7
1849,7931,6265,3
1850,5180,7469,2
1851,7103,5548,3
1852,9374,5423,3
1853,5647,1120,4
1854,3387,6276,1
1855,6335,1118,1
1856,8746,1711,0
1857,6760,6148,0
1858,9174,8178,4
1859,7379,6026,4
1860,7995,4468,3
1861,2349,3763,0
1862,5786,1838,2
1863,3928,1962,1
1864,7381,6506,4
1865,4832,5673,5
1866,4492,7710,2
1867,4290,9268,3
1868,3518,3401,1
1869,7030,3751,0
1870,8059,2192,0
1871,6140,6029,4
1872,7452,7583,3
1873,5316,6750,3
1874,5171,3636,4
1875,3656,3640,5
1876,2775,9032,1
1877,5649,2317,0
1878,5737,10103,6
1879,4416,4716,5
1880,4618,2919,2
1881,6976,9860,0
1882,6287,9862,2
1883,6685,3633,2
1884,2360,8554,4
1885,8340,4826,4
1886,7041,8303,4
1887,3601,9030,1
1888,2079,6159,0
1889,3172,2563,3
1890,6627,8064,0
1891,2776,9511,4
1892,2564,7475,3
1893,7595,9739,4
1894,3862,3280,7
1895,7321,10219,4
1896,5450,5312,5
1897,4768,7710,2
1898,7387,9141,0
1899,8896,6981,2
1900,4419,5674,4
1901,2824,1007,4
1902,3250,6516,1
1903,4560,7111,2
1904,3669,8910,1
1905,5444,2677,1
1906,5236,2079,4
1907,7723,5666,8
1908,3043,6157,3
1909,5109,6391,8
1910,5251,8307,0
1911,4826,3517,8
1912,5867,6988,2
1913,3651,1244,4
1914,3653,2203,7
1915,7787,3630,8
1916,6828,5549,0
1917,3242,3162,7
1918,5928,3754,1
1919,6349,7107,2
1920,7106,6985,1
1921,7310,5907,4
1922,5728,6270,4
1923,5393,10224,1
1924,5868,7467,3
1925,7918,994,5
1926,7798,8181,5
1927,9090,1590,6
1928,2558,4840,2
1929,4072,4837,0
1930,4356,8429,0
1931,1808,7837,5
1932,7654,5786,8
1933,5512,2557,1
1934,4833,6392,0
1935,2970,4360,2
1936,8411,5425,8
1937,5043,7709,2
1938,2765,5199,5
1939,3451,4000,0
1940,7163,1835,1
1941,2902,4959,3
1942,8886,2908,6
1943,5996,3155,9
1944,4898,4595,6
1945,7923,3150,6
1946,4970,6152,3
1947,7180,9021,6
1948,4758,3637,3
1949,6214,7826,0
1950,5028,1481,1
1951,5939,8066,3
1952,1941,5920,0
1953,6766,8543,1
1954,5652,3276,6
1955,9171,6741,2
1956,7307,4709,8
1957,2352,4961,4
1958,5873,9144,2
1959,8264,1592,5
1960,4067,2681,3
1961,5785,1359,4
1962,4270,1123,7
1963,6078,8784,0
1964,5526,8307,6
1965,2771,7595,2
1966,3727,4478,0
1967,5459,8906,3
1968,6907,9741,6
1969,5317,7229,3
1970,7585,5427,7
1971,4556,5674,0
1972,5513,2797,0
1973,4486,5315,0
1974,7655,6026,1
1975,8887,3148,0
1976,3805,8191,0
1977,7027,2554,9
1978,4208,4118,0
1979,4135,2321,3
1980,6542,1237,1
1981,5727,6030,4
1982,6078,8545,4
1983,7578,2792,9
1984,6898,6147,6
1985,6066,3754,2
1986,6000,5072,5
1987,5109,6631,1
1988,3383,4359,1
1989,8206,6264,3
1990,6617,3992,2
1991,5033,3397,4
1992,6275,4592,3
1993,3878,9988,1
1994,3036,3282,2
1995,4489,6273,4
1996,8897,7221,2
1997,5944,10222,5
1998,1873,6279,0
1999,7242,6027,4
2000,2835,5558,6
2001,9317,10094,5
2002,6216,8784,2
2003,4766,7231,3
2004,2432,9632,0
2005,6837,9382,0
2006,4554,4716,5
2007,6060,1358,1
2008,2702,7475,8
2009,5374,2079,0
2010,9030,5543,3
2011,2834,5079,5
2012,2431,9153,6
2013,9034,6981,2
2014,6889,2554,9
2015,4901,5793,6
2016,6423,8903,8
2017,6143,7227,8
2018,8210,7701,8
2019,3671,9629,7
2020,5042,7469,2
2021,3447,2323,1
2022,3799,5556,5
2023,5303,1480,4
2024,3031,1126,4
2025,4838,8308,3
2026,8202,4587,0
2027,3377,1964,7
2028,3465,9749,1
2029,7507,1954,1
2030,4965,3756,0
2031,4277,4237,0
2032,6957,1955,0
2033,6698,8903,0
2034,8617,5544,8
2035,2014,7716,3
2036,7926,4348,1
2037,8678,2071,0
2038,5186,9865,1
2039,8265,2072,5
2040,6489,8065,0
2041,6830,6507,3
2042,2350,4242,2
2043,4014,9029,8
2044,7782,1713,0
2045,7802,9858,0
2046,6219,10221,5
2047,8954,2309,4
2048,5173,4355,0
2049,5249,7349,2
2050,9452,8896,0
2051,4074,5555,0
2052,3250,6276,5
2053,4084,9628,7
2054,4348,5076,4
2055,6412,4591,8
2056,6623,6388,0
2057,6562,9382,6
2058,6281,7227,3
2059,6833,7944,8
2060,3393,8671,7
2061,4066,2441,3
2062,4547,2081,1
2063,7451,7344,2
2064,8679,2550,0
2065,5306,2678,1
2066,8690,7101,8
2067,7726,6864,0
2068,2910,8313,8
2069,4633,9147,2
2070,7031,4470,1
2071,6081,9743,2
2072,3585,2802,1
2073,4428,9507,3
2074,3451,4239,0
2075,4752,1242,8
2076,9169,5783,1
2077,2909,7594,2
2078,8693,8539,5
2079,3178,5198,3
2080,4151,8789,6
2081,3584,2322,1
2082,7444,4230,1
2083,3462,8551,7
2084,5994,2436,4
2085,5941,9024,1
2086,3104,3162,1
2087,3672,10108,6
2088,7850,1354,6
2089,9378,7100,5
2090,2287,6757,2
2091,4274,2800,2
2092,5733,8426,5
2093,3395,9390,4
2094,4284,6872,8
2095,6215,8545,1
2096,4630,7710,3
2097,7734,10218,0
2098,5315,6511,1
2099,7041,8543,4
2100,7380,6266,0
2101,1533,8077,0
2102,2632,7116,2
2103,1880,9154,5
2104,4136,2800,1
2105,7447,5667,4
2106,3240,2204,7
2107,4420,6393,4
2108,5185,9386,2
2109,8008,9738,5
2110,5454,6750,3
2111,4358,9148,2
2112,1532,7598,5
2113,5306,2438,4
2114,6897,5668,6
2115,7579,3271,9
2116,2557,4361,2
2117,8203,5066,1
2118,7441,3032,9
2119,3806,8431,1
2120,5173,4594,5
2121,5448,4354,4
2122,6346,5670,6
2123,7857,4229,1
2124,3527,6994,3
2125,7025,1835,2
2126,4553,4237,6
2127,4900,5314,6
2128,8070,6983,3
2129,3048,8313,8
2130,2569,9392,5
2131,2216,5919,6
2132,2279,3404,5
2133,5999,4353,1
2134,6277,5550,5
2135,9447,6980,2
2136,5182,8427,0
2137,6141,6269,4
2138,3936,5316,4
2139,3598,7832,2
2140,9094,3267,4
2141,6905,9022,6
2142,3650,1005,4
2143,3925,1004,4
2144,2486,3762,1
2145,2290,7955,1
2146,5244,5433,5
2147,4825,3038,3
2148,5322,9385,1
2149,6485,6148,4
2150,3311,3281,1
2151,6682,2195,9
2152,2770,7116,2
2153,3859,1843,7
2154,6337,2076,6
2155,6681,1716,6
2156,4281,5914,4
2157,3380,3401,1
2158,7727,7583,1
2159,3238,1485,7
2160,4006,5915,5
2161,4429,9986,0
2162,7665,10098,0
2163,5929,3994,1
2164,6546,2914,9
2165,2900,4001,1
2166,6209,5909,4
2167,5599,9864,1
2168,5648,1599,4
2169,3186,8552,7
2170,6836,8902,0
2171,4842,9985,1
2172,6968,6746,2
2173,5938,7827,3
2174,9377,6620,2
2175,2705,8912,1
2176,4142,5196,4
2177,2424,6518,2
2178,8620,6503,4
2179,7647,2672,9
2180,3318,6156,3
2181,9101,6142,2
2182,3800,6275,1
2183,8541,2310,0
2184,4208,3878,3
2185,4427,9028,8
2186,2774,8793,7
2187,9170,6501,2
2188,2015,7956,1
2189,5718,2198,0
2190,7797,7702,4
2191,6149,9623,0
2192,2008,5081,0
2193,4222,9627,1
2194,6562,9622,2
2195,4010,7592,2
2196,8625,8659,5
2197,4273,2560,3
2198,4545,1122,7
2199,6010,8904,0
2200,3584,2083,7
2201,8411,5665,2
2202,7176,7105,2
2203,2211,3763,4
2204,5519,5432,5
2205,4212,5555,0
2206,9098,5184,3
2207,3445,1844,7
2208,9092,2549,0
2209,7319,9500,4
2210,2357,7356,2
2211,3867,5196,5
2212,7785,3151,9
2213,7040,8063,7
2214,2284,5560,0
2215,5382,5432,5
2216,4205,2920,1
2217,7514,4589,7
2218,7869,9020,5
2219,8752,4346,4
2220,2281,4362,3
2221,2767,5918,4
2222,8960,4945,3
2223,8614,4107,0
2224,8407,3988,6
2225,4007,6394,1
2226,7866,8061,5
2227,3739,9509,8
2228,7442,3511,6
2229,7439,2074,8
2230,7511,3631,1
2231,4560,7351,3
2232,8891,4825,3
2233,3929,2441,2
2234,3932,3639,3
2235,7367,996,6
2236,3045,6875,3
2237,5662,7348,2
2238,2639,9751,0
2239,4146,6873,2
2240,4069,3399,1
2241,6756,4231,3
2242,4017,10227,6
2243,6426,10101,2
2244,2427,7476,3
2245,6423,9143,8
2246,4417,5195,4
2247,3393,8432,1
2248,5521,5911,0
2249,2490,5200,5
2250,7919,1234,6
2251,4073,5316,4
2252,4959,1361,8
2253,5383,5911,0
2254,5047,9386,3
2255,3375,1245,1
2256,4152,9508,1
2257,9237,5663,1
2258,6974,9142,6
2259,4206,3399,1
2260,7582,4469,7
2261,9162,3147,4
2262,3382,3880,0
2263,4754,1960,1
2264,2708,10110,5
2265,7861,5905,7
2266,8073,8181,5
2267,6488,7586,2
2268,8609,1951,0
2269,5668,9744,3
2270,4756,2919,2
2271,2347,3044,5
2272,8209,7462,4
2273,6967,6267,0
2274,7111,8902,6
2275,5518,4713,6
2276,6356,9982,5
2277,8686,5424,1
2278,3598,8072,6
2279,5041,6751,2
2280,6218,9742,8
2281,9094,3507,0
2282,8685,4945,4
2283,8824,5424,1
2284,5656,5192,5
2285,6406,2196,6
2286,6621,5429,0
2287,8205,5785,2
2288,7858,4468,1
2289,5796,5910,4
2290,8896,6741,2
2291,4339,1243,7
2292,5460,9145,8
2293,7040,7824,1
2294,7230,1236,6
2295,6138,5071,0
2296,4557,6153,4
2297,7303,3032,9
2298,7788,4349,7
2299,7453,7823,3
2300,4284,7112,2
2301,3597,7593,2
2302,6692,6507,0
2303,3185,8073,2
2304,3936,5556,0
2305,6699,9382,6
2306,4619,3158,1
2307,6081,9982,5
2308,9510,4704,8
2309,4836,7590,2
2310,2895,1845,1
2311,4411,2560,1
2312,6975,9621,6
2313,7786,3390,6
2314,4696,6632,0
2315,8341,5066,1
2316,3720,1364,1
2317,4219,8669,0
2318,5789,3036,6
2319,5593,7468,8
2320,6563,9861,2
2321,4143,5675,0
2322,7859,5187,7
2323,5509,1360,4
2324,2213,4721,4
2325,2899,3761,1
2326,7384,7943,3
2327,2212,4242,2
2328,6826,5070,8
2329,4551,3518,1
2330,8487,8419,0
2331,2687,1247,4
2332,2285,5799,6
2333,6072,6149,4
2334,7795,6984,2
2335,8481,6024,0
2336,7934,7702,4
2337,8078,10097,5
2338,8266,2790,5
2339,2981,8912,7
2340,4353,7232,3
2341,7108,7464,8
2342,5795,5671,2
2343,3861,3040,7
2344,7382,7224,2
2345,6695,7465,3
2346,2967,3402,2
2347,3734,7353,2
2348,5320,8427,6
2349,7715,2552,9
2350,4635,9866,2
2351,5116,9266,3
2352,8825,6143,2
2353,9032,6022,2
2354,3529,7713,2
2355,9226,1111,5
2356,2212,4003,4
2357,8136,5905,1
2358,7098,3632,0
2359,5309,3875,0
2360,4071,4118,0
2361,5310,4115,0
2362,5045,8667,2
2363,2910,8074,3
2364,5727,5791,0
2365,6347,5909,0
2366,4498,9866,2
2367,5181,7709,2
2368,6487,7107,2
2369,5655,4713,6
2370,8610,2670,6
2371,3452,4718,1
2372,5731,7468,2
2373,3602,9749,1
2374,9367,2308,6
2375,3939,6514,3
2376,7574,1115,6
2377,7860,5666,1
2378,7104,6027,0
2379,9030,5304,3
2380,7446,5188,7
2381,9090,1830,0
2382,7871,9978,5
2383,6618,4471,0
2384,2362,9273,0
2385,3794,3640,3
2386,9369,3267,4
2387,7996,4707,8
2388,9315,9376,5
2389,6770,10220,0
2390,7859,4947,1
2391,3121,10109,0
2392,8348,8180,5
2393,6356,9742,2
2394,4291,9987,1
2395,7511,3391,9
2396,4559,6872,1
2397,2772,8074,3
2398,2349,4002,1
2399,4292,10226,2
2400,8899,8179,5
2401,7026,2314,9
2402,7044,9740,6
2403,5441,1719,4
2404,6964,4830,0
2405,8964,6621,2
2406,5668,9983,6
2407,5936,7108,2
2408,8818,3028,0
2409,3391,7953,2
2410,8264,1832,5
2411,9383,9016,0
2412,9299,2668,0
2413,4496,9148,2
2414,3944,8670,6
2415,7044,9501,6
2416,4139,3758,3
2417,9439,3626,2
2418,1875,6998,3
2419,5934,6150,4
2420,8416,7821,8
2421,6079,9024,1
2422,6337,1837,6
2423,9306,5782,1
2424,6688,4830,4
2425,9175,8418,5
2426,4963,3277,0
2427,4410,2081,8
2428,4891,1720,7
2429,8267,3030,6
2430,6964,5069,0
2431,3466,10228,0
2432,3738,8790,6
2433,2495,7116,3
2434,7792,6025,7
2435,4418,5435,0
2436,2629,5679,0
2437,7584,5187,7
2438,7300,1834,1
2439,6493,9502,2
2440,3587,3281,7
2441,6891,3273,9
2442,7109,8183,1
2443,7032,4710,1
2444,4970,5912,6
2445,5528,9025,8
2446,6072,6389,4
2447,6137,4592,3
2448,4486,5075,0
2449,8415,7102,3
2450,8197,2671,5
2451,3522,5078,5
2452,7028,3033,9
2453,4822,1601,7
2454,5324,9864,0
2455,4340,1482,7
2456,6424,9383,2
2457,9298,2428,6
2458,9511,5183,0
2459,2904,5438,5
2460,3530,8431,1
2461,9314,9136,6
2462,6767,8783,0
2463,4424,8070,8
2464,5736,9624,2
2465,9105,8058,5
2466,7311,6146,4
2467,3099,1006,4
2468,5039,6032,0
2469,7246,7943,1
2470,5385,6630,3
2471,2622,3043,4
2472,6216,9024,6
2473,4485,4836,6
2474,6068,4712,6
2475,4890,1241,7
2476,6973,8663,0
2477,3590,4718,1
2478,8130,3270,6
2479,9091,2309,0
2480,4357,8669,0
2481,4141,4956,4
2482,3736,8072,0
2483,7720,4708,1
2484,3931,3400,1
2485,6273,4113,1
2486,6762,6866,3
2487,8127,2072,6
2488,7389,10099,0
2489,3309,2323,7
2490,4773,10105,1
2491,6976,10100,4
2492,5595,8187,3
2493,3719,1124,4
2494,3868,5676,5
2495,3531,8671,7
2496,6560,8664,8
2497,7317,8542,4
2498,8681,3268,5
2499,4974,7829,3
2500,5449,4833,5
2501,5724,4833,5
2502,7249,9141,0
2503,4831,5434,6
2504,4204,2201,3
2505,6482,4951,0
2506,2915,9990,5
2507,4283,6633,3
2508,7517,6026,4
2509,4634,9387,3
2510,5457,7948,2
2511,1810,8795,0
2512,6768,9262,0
2513,5117,9745,8
2514,4901,6032,5
2515,2422,5559,6
2516,7102,5308,1
2517,9367,2548,6
2518,5310,4355,4
2519,4421,6872,8
2520,3869,6155,1
2521,3241,2683,8
2522,5034,3876,0
2523,4765,6751,1
2524,7097,2913,9
2525,6903,8303,3
2526,3118,8911,7
2527,1737,6998,3
2528,4837,7829,2
2529,7443,3990,8
2530,6069,4952,0
2531,4829,4715,3
2532,2758,2085,4
2533,4005,5436,4
2534,3245,4360,3
2535,4555,5195,0
2536,8332,1233,5
2537,5114,8787,0
2538,2280,3643,0
2539,2087,9513,5
2540,8682,3987,0
2541,9107,8538,5
2542,5178,6511,2
2543,6061,1837,8
2544,5995,2916,0
2545,4767,7470,3
2546,2623,3283,0
2547,8688,6143,1
2548,9176,8897,5
2549,6889,2314,9
2550,3185,7833,3
2551,4342,2440,1
2552,5038,5793,6
2553,2560,5559,5
2554,8546,4466,3
2555,6212,7347,3
2556,4973,7350,0
2557,5048,9865,1
2558,6276,5071,6
2559,9167,5064,8
2560,4967,4954,5
2561,8553,7341,4
2562,3927,1723,7
2563,5591,6749,2
2564,3052,9750,8
2565,7993,3749,1
2566,7101,4829,8
2567,3791,2442,2
2568,4905,7709,2
2569,2632,6876,8
2570,8280,8540,6
2571,3665,7233,2
2572,6825,4590,4
2573,5803,8785,2
2574,4615,1721,7
2575,3515,1963,7
2576,3870,6634,3
2577,3792,2921,1
2578,6758,5429,0
2579,3997,2082,1
2580,8472,2430,8
2581,4564,9028,3
2582,4481,2919,8
2583,2763,4241,1
2584,4488,6033,0
2585,8540,1831,0
2586,7177,7584,1
2587,3534,10108,0
2588,5804,9264,6
2589,4772,9387,3
2590,7506,1474,2
2591,3594,6395,4
2592,4360,10106,0
2593,7312,6625,0
2594,3796,4358,6
2595,2901,4241,2
2596,7505,1235,6
2597,4154,10227,6
2598,1803,5681,5
2599,8549,5664,2
2600,4820,1122,8
2601,2214,4961,4
2602,4012,8550,0
2603,9302,4105,1
2604,6342,3993,3
2605,8344,6503,3
2606,7583,4948,7
2607,9023,2429,0
2608,4204,2441,3
2609,8555,8299,5
2610,5049,10105,1
2611,2501,9751,0
2612,4495,8908,8
2613,4066,2202,2
2614,5653,3755,1
2615,5993,2197,0
2616,6966,5788,0
2617,3795,4119,0
2618,8409,4706,4
2619,4353,6992,2
2620,5726,5312,0
2621,7034,5428,3
2622,5239,3516,4
2623,6279,6508,2
2624,8678,2310,0
2625,6003,6269,4
2626,5103,4235,0
2627,7183,9980,0
2628,3247,5318,5
2629,8339,4108,6
2630,4548,2320,2
2631,3997,2321,3
