X,Y,class
-2.4409895,-1.8079661,3
0.091256015,1.899062,0
-5.8583565,1.0535753,2
4.903954,3.4743278,4
-1.8708303,-2.9540334,5
4.760816,1.9249039,4
3.2506242,4.9661274,9
4.537968,3.5946934,4
-3.1041892,-0.86121976,2
-2.2677808,-2.6702542,5
-4.6901073,-0.13723065,2
4.783409,4.121737,4
2.4669247,1.5756124,0
0.09087389,-2.2450602,6
-3.6603756,1.9573991,2
-5.11612,-0.5684824,2
1.5169781,0.027502194,0
5.391133,5.036941,4
1.7069576,1.4766617,0
4.82118,1.8372592,4
2.7833295,-0.6295257,5
7.006592,6.062323,4
-5.519689,0.22825728,2
3.6434116,1.7878193,0
-3.3332047,3.4660368,1
-0.9428157,2.3882773,1
3.39286,1.3346398,0
0.36202475,-1.7596401,6
0.77094537,0.9569409,0
-0.37453902,-2.0125754,6
-1.0509549,3.110247,1
3.5516965,1.2613169,0
-3.2961862,4.4827204,1
0.03596956,0.8217192,0
-4.2491083,0.48169836,2
1.8205812,0.77114385,0
-1.6547734,-0.14194381,8
-2.6155026,4.582413,1
0.0824041,-0.39494178,5
5.251191,4.3338037,4
-4.1653595,-2.3736186,3
-0.09861263,-3.798901,6
-4.9335704,0.90322024,2
-0.46716267,0.6978263,3
5.6913185,3.8303258,4
-2.0732994,1.7018292,1
-0.71637493,2.9887576,1
-4.661242,-0.15417133,2
-4.3748446,0.4484987,2
-3.1653283,-0.80018616,3
-0.43025,-0.096666805,3
-0.0839234,-1.9360858,5
6.609402,4.3983626,4
-4.6097145,1.6291347,2
-2.7633984,0.8624459,2
3.603027,2.2106495,0
0.10103002,-3.5648313,6
-0.4731991,-0.43612674,5
1.7402551,0.6304866,0
-1.0131028,-1.0589921,5
-1.9048896,2.9249394,8
-3.6008344,-2.8237414,3
-3.3238218,-1.8946925,3
-3.471654,1.2749113,2
6.0973015,5.6536713,4
0.97362846,0.94772124,0
-2.0209262,-4.091888,5
-4.3632584,-2.2599192,3
-3.5913963,1.3449075,2
-3.5312898,1.150791,2
-1.7183993,1.4536471,1
0.18672627,-1.0030462,5
1.9810568,0.7839915,0
-2.5925953,-0.9302949,3
-3.1626203,1.3807073,2
-1.6505287,5.8597727,7
-1.4382683,4.7936897,1
0.13893808,-1.531109,6
2.755344,1.9685643,0
-2.0384855,-3.2016065,5
1.1396705,0.80045134,0
4.255357,0.8322977,0
-3.264613,1.8053988,1
0.45691818,1.4243252,0
3.3185627,-0.018733563,5
-0.95245856,-2.8896105,5
-2.7042456,-1.6723247,3
-1.4020305,3.4381921,1
-3.5712671,-0.44836754,2
-3.3644855,-1.4528809,3
2.3618598,-0.16948746,0
-1.0079371,-2.9901447,5
1.1839612,1.6706456,0
3.6195385,3.6894138,4
-3.9143221,-1.697991,3
-2.0232859,0.7798332,8
6.0708313,5.8536816,4
5.2672586,4.0611377,4
-0.7671254,-1.3777806,6
-1.1663836,2.4723096,1
-2.075185,1.8107407,2
0.7696727,-0.3424179,0
-2.3525052,6.266971,7
-4.834267,0.2730246,2
0.9643826,3.1748753,4
-1.595638,2.4677596,1
-2.9098835,2.0216491,1
-2.5370436,0.63862497,3
1.570705,-0.79444623,5
-1.8209442,5.4905577,1
5.326055,4.7565117,4
-2.3241513,1.0449252,2
-1.9812573,0.7313715,8
-4.129019,-2.1384692,3
-2.6601288,-1.0452124,3
0.4291932,1.0788232,0
-1.5941273,-0.65223956,3
6.22116,3.9465575,4
-3.4213505,0.23410404,2
2.7965553,3.6613917,4
-2.7196913,-1.3574184,3
-3.5046663,1.518075,2
-1.8570607,4.59619,1
-2.445969,6.713813,7
1.5020505,2.2389705,0
-4.616083,0.74316233,2
-0.15765247,2.1213686,0
0.09508881,2.0418694,0
-2.6923435,1.5034777,2
-0.86504453,0.7701578,3
-2.935044,5.8282046,7
3.8342152,2.5321643,0
-0.2785276,-2.4250772,5
0.4295466,2.3627203,0
5.700363,4.6023865,4
1.9285997,-0.9979844,6
-0.6620732,3.2954955,1
-2.012951,-1.0020088,8
1.433621,4.7659464,9
-1.6626825,6.2552004,7
6.24719,4.7716875,4
-3.3411767,-1.1128515,3
-2.2318923,6.3995204,7
0.36313516,-2.3716178,6
3.297024,-0.22705977,0
0.066951714,-2.5831041,6
-3.4236977,5.7253146,7
-2.4425628,0.9621318,8
1.1024928,-1.2912616,5
-4.4589696,1.1437792,2
-3.1022975,0.77510273,2
-4.3410287,-0.65311056,2
-4.0532746,-2.2931235,3
-2.8244815,6.5881286,7
-1.8063782,4.050022,1
-5.3497953,0.8856441,2
-2.2607005,0.004155125,3
3.1932058,1.456334,0
4.9287496,4.9903636,4
2.2942996,-1.0148963,5
-5.1242747,1.0647902,2
-3.1138506,5.5597515,7
3.9428785,0.18058404,0
0.66918594,-2.7489402,6
0.30482727,1.4818716,0
5.1727257,3.7884588,4
1.5949994,-2.4459078,6
-1.7155273,5.325107,1
-0.39597136,-0.86929786,6
0.18520251,2.1014893,0
-1.0643803,-2.8000865,5
0.6932808,1.387086,0
3.826048,2.7293785,4
3.6208272,1.3739576,0
-2.9517572,1.8118936,1
6.698678,6.2486644,4
2.4858572,0.77445245,0
-0.1910655,1.5400184,0
-4.435101,-1.6495177,3
-3.1980085,-2.2043211,3
-0.29532552,-2.6304607,6
-4.239751,1.5568053,2
-1.1905781,-2.3179913,5
-0.71550405,3.3064678,1
0.46409193,5.2663264,9
0.43101278,1.4429872,0
-3.5565643,5.7827377,7
-0.6835377,3.6276364,1
-2.7835617,3.624298,1
-2.6078718,-1.7886065,3
-0.64059925,-0.3310041,6
-3.67183,5.967129,7
-4.7205405,0.70182455,2
6.6739826,6.1474977,4
1.0177823,1.5323316,0
-5.7189307,0.28766963,2
6.3427243,6.0050673,4
-6.2660613,1.147178,2
3.8799436,1.1788949,0
3.6438744,1.5586853,0
-1.4023464,2.2551508,1
-2.7561858,-1.9064416,3
4.081707,3.6245964,4
1.0967138,2.272239,0
-0.061592907,-2.6197357,6
-2.3060303,5.152493,1
1.5878537,0.68612814,0
-1.1771053,1.4732484,8
-0.57457787,2.2912915,1
-2.8770854,0.31068695,1
5.6398287,4.993897,4
-2.1691825,4.0735598,1
-1.0650548,-4.295501,5
-0.06733102,-2.930937,6
0.5418628,1.6491654,0
6.511771,6.304523,4
1.3769987,4.4892488,9
-1.1411524,2.0227134,1
-0.3706943,1.8552332,0
